SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Thu Nov 16 14:27:25 EST 2017
User: cheriyan
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2+H05261
Integration Time (usec): 100000 (USB2+H05261)
Spectra Averaged: 1 (USB2+H05261)
Boxcar Smoothing: 1 (USB2+H05261)
Correct for Electrical Dark: No (USB2+H05261)
Strobe/Lamp Enabled: No (USB2+H05261)
Correct for Detector Non-linearity: No (USB2+H05261)
Correct for Stray Light: No (USB2+H05261)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
0.00	344.06
1.00	344.06
2.00	309.73
3.00	244.20
4.00	196.61
5.00	164.62
6.00	181.00
7.00	183.34
8.00	216.89
9.00	227.03
10.00	247.32
11.00	237.17
12.00	225.47
13.00	196.61
14.00	211.43
15.00	232.49
16.00	229.37
17.00	227.03
18.00	234.05
19.00	266.04
20.00	273.06
21.00	272.28
22.00	290.23
23.00	304.27
24.00	314.41
25.00	298.81
26.00	307.39
27.00	321.43
28.00	354.20
29.00	362.78
30.00	379.17
31.00	370.58
32.00	389.31
33.00	390.87
34.00	400.23
35.00	385.41
36.00	356.54
37.00	342.50
38.00	347.96
39.00	378.39
40.00	396.33
41.00	393.21
42.00	397.89
43.00	410.37
44.00	405.69
45.00	386.97
46.00	367.46
47.00	358.10
48.00	376.05
49.00	374.49
50.00	401.79
51.00	397.11
52.00	441.58
53.00	457.18
54.00	446.26
55.00	418.18
56.00	386.19
57.00	388.53
58.00	383.07
59.00	358.88
60.00	367.46
61.00	352.64
62.00	380.73
63.00	376.05
64.00	391.65
65.00	390.87
66.00	377.61
67.00	362.00
68.00	366.68
69.00	380.73
70.00	417.40
71.00	397.11
72.00	397.11
73.00	368.24
74.00	373.71
75.00	363.56
76.00	352.64
77.00	379.17
78.00	377.61
79.00	395.55
80.00	390.87
81.00	397.11
82.00	380.73
83.00	379.95
84.00	369.80
85.00	369.02
86.00	362.00
87.00	365.12
88.00	394.77
89.00	386.97
90.00	393.21
91.00	385.41
92.00	372.15
93.00	365.90
94.00	382.29
95.00	411.15
96.00	408.03
97.00	393.21
98.00	362.00
99.00	365.12
100.00	351.86
101.00	358.88
102.00	343.28
103.00	331.58
104.00	376.05
105.00	400.23
106.00	406.47
107.00	395.55
108.00	383.07
109.00	399.45
110.00	375.27
111.00	397.11
112.00	362.00
113.00	362.78
114.00	354.98
115.00	383.85
116.00	389.31
117.00	365.90
118.00	352.64
119.00	358.10
120.00	389.31
121.00	397.89
122.00	395.55
123.00	392.43
124.00	404.13
125.00	380.73
126.00	377.61
127.00	392.43
128.00	425.20
129.00	418.18
130.00	364.34
131.00	362.78
132.00	355.76
133.00	393.21
134.00	377.61
135.00	396.33
136.00	387.75
137.00	374.49
138.00	343.28
139.00	353.42
140.00	364.34
141.00	380.73
142.00	363.56
143.00	369.02
144.00	367.46
145.00	375.27
146.00	362.00
147.00	379.95
148.00	386.97
149.00	387.75
150.00	384.63
151.00	383.85
152.00	387.75
153.00	367.46
154.00	383.07
155.00	376.05
156.00	409.59
157.00	365.90
158.00	347.18
159.00	359.66
160.00	397.11
161.00	425.20
162.00	399.45
163.00	366.68
164.00	348.74
165.00	355.76
166.00	369.80
167.00	381.51
168.00	379.17
169.00	368.24
170.00	359.66
171.00	323.77
172.00	342.50
173.00	342.50
174.00	388.53
175.00	379.95
176.00	390.87
177.00	391.65
178.00	419.74
179.00	422.08
180.00	407.25
181.00	392.43
182.00	377.61
183.00	335.48
184.00	326.89
185.00	326.11
186.00	367.46
187.00	367.46
188.00	401.01
189.00	407.25
190.00	393.21
191.00	366.68
192.00	379.17
193.00	381.51
194.00	397.89
195.00	363.56
196.00	367.46
197.00	354.98
198.00	369.80
